YYDDD;Month;Day ;Time (UT);SALU MLT;max dB/dt;SME;SYM/H;
17339;Dec;5;10:40;6,2;7,3;995;-30;
;;;;;;;;
17339;Dec;5;10:59;6,5;8,4;1097;-31;
;;;;;;;;
17345;Dec;11;3:20;22,6;7,8;180;-2;
;;;;;;;;
17352;Dec;18;1:56;21,1;8,2;583;-21;
;;;;;;;;
17353;Dec;19;23:30;18,5;15,4;350;-24;
;;;;;;;;
17357;Dec;23;4:06;23,4;6,2;595;9;
;;;;;;;;
17360;Dec;26;4:05;23,4;10,1;621;-16;
